date,precio,vol_30d,cum_ret_30d,dist_sma50,drawdown,cluster_km,estado_hmm,estado_hmm_causal
2018-11-23,123.2959976196289,4.727694777981366,-46.38106661444304,-37.59198380662685,-88.10791066905723,0,1,1
2018-11-24,113.49400329589844,4.865037788604525,-53.77523551354988,-41.88206003400109,-89.05332815518527,0,1,1
2018-11-25,116.4499969482422,4.917119663939229,-51.4716076607146,-39.697214753092425,-88.76821800356606,0,1,1
2018-11-26,108.33499908447266,4.9907247390101865,-58.873555901676056,-43.20670202468126,-89.55092207652451,0,1,1
2018-11-27,110.01000213623048,5.011013213765803,-57.89350232388556,-41.598433852481875,-89.3893654460931,0,1,1
2018-11-28,122.43800354003906,5.543873417609554,-42.64291531962127,-34.26407225476063,-88.19066552271745,0,1,1
2018-11-29,117.54264831542967,5.554977705375438,-46.79780643402548,-36.15033978568185,-88.66283009222236,0,1,1
2018-11-30,113.17141723632812,5.561357853123843,-50.428069265378305,-38.0107781415291,-89.08444207868148,0,1,1
2018-12-01,118.63555908203124,5.671503370190073,-46.355260234390386,-34.45710454419334,-88.5574171614047,0,1,1
2018-12-02,116.38890075683594,5.653083875346421,-49.13550819533894,-35.0998776776042,-88.77411082555552,0,1,1
2018-12-03,108.92501831054688,5.712321447470429,-55.32460540950417,-38.668211175676724,-89.4940138112206,0,1,1
2018-12-04,110.21418762207033,5.648021218512122,-57.787669579702765,-37.239164124304345,-89.36967144073552,0,1,1
2018-12-05,102.47555541992188,5.698610827785909,-65.58266936895518,-40.92161218112438,-90.11607446454794,0,1,1
2018-12-06,91.76105499267578,5.748484621044203,-80.5153283838111,-46.38574713584942,-91.14950457320663,0,1,1
2018-12-07,93.29456329345705,5.791438846500606,-78.26322668308879,-44.779562803481745,-91.00159532996506,0,1,1
2018-12-08,92.15963745117188,5.796773344751019,-77.19962108227185,-44.721240411428255,-91.11106067970081,0,1,1
2018-12-09,95.14205932617188,5.887443715777446,-72.94712921361308,-42.16718236642244,-90.82340148520306,0,1,1
2018-12-10,91.68565368652344,5.851308955524589,-77.75055815956775,-43.488721186871494,-91.15677714559945,0,1,1
2018-12-11,88.94530487060547,5.839035237048246,-80.17808196595861,-44.3887234820443,-91.4210880198046,0,1,1
2018-12-12,90.59329986572266,5.88404973803009,-77.88900108129415,-42.541105604930685,-91.26213635813475,0,1,1
2018-12-13,86.53931427001953,5.891321371990684,-80.65685376787168,-44.28322103246485,-91.6531495279149,0,1,1
2018-12-14,84.30829620361328,5.605127175217998,-70.9400176259059,-44.87917706029473,-91.86833466495804,0,1,1
2018-12-15,84.44081115722656,5.611874875431038,-70.45703200087343,-43.920739736431116,-91.85555339308807,0,1,1
2018-12-16,85.26210021972656,5.642175148121272,-66.37113057231974,-42.466311513203436,-91.7763387949962,0,1,1
2018-12-17,95.13382720947266,6.175565246602025,-54.121717467746954,-34.83557944989336,-90.82419548556852,0,1,1
2018-12-18,101.11245727539062,6.319143063691518,-49.59933107146917,-29.816038189725415,-90.24754738511764,0,1,1
2018-12-19,101.2685775756836,5.7357614809816795,-33.69270013706409,-28.755347615377012,-90.23248934111538,0,1,1
2018-12-20,116.21687316894533,6.014458074098435,-6.304880405058871,-17.2943855305265,-88.79070315200632,0,2,1
2018-12-21,109.49623107910156,6.018306738900785,-16.96884294981102,-21.073107494207456,-89.43891945778032,0,2,1
2018-12-22,116.7594985961914,6.017835111726414,-3.02391399707635,-14.807480142680307,-88.73836609177214,0,2,1
2018-12-23,130.7652587890625,6.3859575161127795,11.662750966378294,-3.6118481140793968,-87.38748889724049,0,2,1
2018-12-24,140.23800659179688,6.30380008714627,26.856806560703735,4.405650187406107,-86.4738277463965,0,2,1
2018-12-25,129.84434509277344,6.473111535670707,16.840825133949092,-2.178051213238208,-87.4763124450749,0,2,1
2018-12-26,131.86563110351562,6.316374076047228,25.36617885736802,0.657972853190425,-87.28135628861241,0,2,1
2018-12-27,116.57591247558594,6.709537454276087,12.22512278730376,-9.625135269924211,-88.75607325654886,0,2,1
2018-12-28,137.6470184326172,7.186058762284432,19.00297531336441,7.958580328108389,-86.72373255465666,0,2,1
2018-12-29,138.01834106445312,7.133255102688482,23.270971523664794,9.487334507753875,-86.68791791351951,0,2,1
2018-12-30,139.8594512939453,7.082947483825633,28.323778933506656,12.242015208351841,-86.51033998933758,1,2,1
2018-12-31,133.36825561523438,7.114815415772601,18.85435163394151,8.389097213739927,-87.13642583450837,0,2,1
2019-01-01,140.8194122314453,7.154348511640803,26.33500361983951,15.754176248246354,-86.41775027480213,1,2,1
2019-01-02,155.0476837158203,7.209258695180409,42.851798674393464,28.54409694334288,-85.04541152266282,1,2,1
2019-01-03,149.135009765625,7.272559685963721,37.8548051774626,24.307098347583754,-85.61569805392055,1,2,1
2019-01-04,154.58193969726562,7.1126838825923056,48.52860173482174,29.412975850439626,-85.0903332523291,1,2,1
2019-01-05,155.6385955810547,6.741764024735048,59.66782352763301,30.725246542850382,-84.98841716093374,1,2,1
2019-01-06,157.74620056152344,6.742527670244274,59.35079222117034,32.85826274650241,-84.78513540657057,1,2,1
2019-01-07,151.69921875,6.801950598105703,56.73392821543233,28.313621321644987,-85.3683761384155,1,2,1
2019-01-08,150.35963439941406,6.815425856878538,52.61472773763482,27.155062004424124,-85.4975811172555,1,2,1
2019-01-09,150.80311584472656,6.745747665689796,56.542564124114286,27.090218995416816,-85.4548066471503,1,2,1
2019-01-10,128.62518310546875,7.349854900336216,44.824868394370775,8.547388363482987,-87.59390250105258,1,2,1
2019-01-11,127.54832458496094,7.361727878655273,42.13484337261158,7.623321861358612,-87.69776716795096,1,2,1
2019-01-12,125.9665298461914,7.2960401014668,45.369618808245676,6.2407480920371405,-87.85033371268742,1,2,1
2019-01-13,116.8978042602539,7.4328800837503515,40.7483450693897,-1.4644314081372234,-88.72502629693889,0,2,1
2019-01-14,129.0687255859375,7.609427501063357,51.00275709927694,8.563739511963341,-87.55112214401233,1,2,1
2019-01-15,122.03271484375,7.720185793648733,44.57876845681737,2.409547051482286,-88.22975624321236,1,2,1
2019-01-16,123.54706573486328,7.481203394679557,34.241611883831,3.44535308474867,-88.083694761711,0,2,1
2019-01-17,123.7419204711914,7.4193342288016755,28.114887026422085,3.5858857483241247,-88.06490072154986,0,2,1
2019-01-18,121.01026153564452,7.440429185792306,25.752939100766117,1.2404046481644615,-88.32837344337663,0,2,1
2019-01-19,124.5190200805664,6.976891475955972,13.891453305759372,3.9784971417203607,-87.98994826443736,0,2,1
2019-01-20,119.4748306274414,6.9304384451704015,15.62335976879352,-0.24759009317969483,-88.4764681250724,0,2,1
2019-01-21,117.15785217285156,6.845932935306267,7.050707868171103,-2.1946496575177,-88.69994427427278,0,2,1
2019-01-22,118.74755096435548,6.481583562783307,-3.587798425222653,-1.029853657328117,-88.54661537144676,0,2,1
2019-01-23,117.45260620117188,6.331966570019059,-11.922386714145215,-2.2270954184373415,-88.67151479316135,0,2,1
2019-01-24,117.36288452148438,6.191855624890186,-4.5873322784678905,-2.5433378039682264,-88.68016858769131,0,2,1
2019-01-25,116.37834167480467,6.184490356372077,-6.98291931569963,-3.7543781797597986,-88.77512926531993,0,2,1
2019-01-26,116.48873901367188,5.80024776323556,4.706864589978733,-4.031248211594707,-88.76448127154029,0,2,1
2019-01-27,113.40528869628906,4.727516653753584,-16.015138127407436,-6.8974530011762125,-89.06188481528682,0,2,1
2019-01-28,106.58997344970705,4.828642541410221,-22.29460040584932,-12.656812312023124,-89.71923249319705,0,2,1
2019-01-29,105.59821319580078,4.812726064780936,-24.559005188014225,-13.66633944383281,-89.81488930089586,0,2,1
